OPTION UNITS=cm
MEASURE Seat_Back_Angle=18.7
MEASURE Outseam=99.2
MEASURE Inseam=78.9
MEASURE CROTCH_Height=78.0
MEASURE TrouserWAIST_Circ=84.4
MEASURE HIP_Circ=94.2
MEASURE Knee_Height=32.0
MEASURE Calf_Height=45.8
MEASURE Waist_Height_Back_EZ=101.3
MEASURE TrouserWaist_Height_Back=100.7
MEASURE CrotchLength_Back=30.6
MEASURE CrotchLength_Front=25.8
MEASURE Ankle_Circ=24.95
MEASURE Head_Top_Height=162.6
MEASURE Hip_Height=85.5
MEASURE NeckBase_Circ=34.3
MEASURE Bust_to_Bust=19.0
MEASURE Underbust_Circ=76.6
MEASURE BUST_Circ=88.0
MEASURE Across_Back=36.2
MEASURE Shoulder_to_Shoulder=37.3
MEASURE Neck_Circ=32.4
MEASURE Knee_Circ=35.0
MEASURE Calf_Circ=33.2
MEASURE Bicep_Circ=26.2
MEASURE Elbow_Circ=22.2
MEASURE Wrist_Circ=14.9
MEASURE Shoulder_to_Wrist=57.4
MEASURE Shoulder_Length=13.0
MEASURE SideNeck_to_Bust=27.6
MEASURE NeckSide_to_Wrist=70.4
MEASURE NECK_Height=145.8
MEASURE Thigh_Circ=49.8
MEASURE Across_Front=34.2
MEASURE Shoulder_to_floor_Right=139.5
MEASURE Shoulder_to_floor_Left=140.0
MEASURE TopHip_Circ=87.1
MEASURE TrouserWaist_Height_Front=96.6
MEASURE Bust_Height=122.0
MEASURE Torso_Height=67.8
MEASURE Istumakorkeus=27.1
MEASURE NaturalWAIST_Circ=73.9
MEASURE NaturalWaist_Height=105.1
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=70.0
MEASURE Shoulder_Width_ThruTheBody=33.2
MEASURE Overarm_Width_ThruTheBody=42.3
MEASURE Hip_2_Width_ThruTheBody=37.3
MEASURE Hip_2_Circ=95.5
MEASURE Hip_2_Height=78.0
